interval_qps l0_files total_mem_size pending_bytes
7.12 21 6.5 66.18
55.77 18 64.74 66.18
126.41 20 66.72 66.47
7.47 21 9.51 66.58
7.66 21 17.51 66.49
170.0 19 130.03 66.7
7.12 21 7.44 66.92
8.12 21 15.92 66.82
7.86 21 24.13 66.72
9.03 21 33.56 66.52
7.92 21 41.84 66.52
8.91 21 51.15 66.31
8.12 21 59.62 66.21
7.5 22 2.44 66.32
6.65 22 9.38 66.12
118.07 20 67.67 66.33
7.26 21 10.24 66.43
8.12 21 18.72 66.33
8.12 21 27.2 66.23
8.12 21 35.68 66.13
8.12 21 44.16 66.02
8.11 21 52.63 65.92
8.11 21 61.1 65.76
7.24 21 68.66 65.76
7.11 22 11.07 65.76
8.11 22 19.54 65.76
9.2 22 29.14 65.55
8.13 22 37.63 65.55
7.97 22 45.96 78.17
8.13 22 54.45 78.17
8.04 8 62.85 76.55
6.88 9 5.02 73.45
8.1 9 13.48 73.22
8.1 9 21.94 72.76
8.12 9 30.42 72.61
8.1 9 38.88 71.99
8.11 9 47.35 71.85
8.12 9 55.83 71.69
8.13 9 64.32 71.69
6.67 10 6.27 70.96
8.11 10 14.73 70.48
8.1 10 23.2 70.02
8.12 10 31.67 69.94
8.11 10 40.14 69.14
8.11 10 48.61 68.73
77.96 10 130.03 68.4
83.8 8 87.52 68.71
44.46 10 3.92 69.02
3.07 10 7.13 69.02
117.68 7 130.03 68.66
3.22 6 3.36 68.86
59.04 6 65.01 68.64
66.75 8 4.69 68.99
7.83 8 12.87 68.78
112.97 9 65.83 68.85
6.26 10 7.35 68.91
118.67 11 66.27 68.91
7.58 12 9.18 69.09
8.11 12 17.65 68.86
8.81 12 26.85 68.63
102.14 14 3.49 69.1
7.72 14 11.55 68.99
8.11 14 20.02 68.77
105.34 14 130.03 68.65
6.63 16 6.92 69.0
8.97 16 16.29 68.77
111.91 17 68.16 68.94
7.3 18 10.77 69.01
8.11 18 19.23 68.81
106.09 18 130.03 68.58
7.3 20 7.63 68.92
8.12 20 16.11 68.81
6.64 20 23.04 68.69
102.44 6 130.03 68.56
6.7 8 7.0 69.13
7.79 8 15.13 68.91
110.31 9 65.32 68.96
7.7 5 8.34 68.8
120.14 6 68.8 68.93
7.69 7 11.81 68.88
93.28 7 109.24 68.55
26.79 9 7.19 68.79
117.62 9 130.03 68.62
7.33 11 7.66 68.95
8.8 11 16.85 68.77
110.43 12 67.17 68.79
7.51 13 9.99 68.82
8.49 13 18.86 68.73
108.08 14 66.71 68.84
7.04 15 9.05 68.86
7.03 15 16.39 68.78
109.41 16 65.63 68.73
7.68 17 8.64 68.93
8.11 17 17.11 68.75
7.14 17 24.58 68.75
9.92 17 34.93 68.75
91.98 4 65.97 68.83
8.1 5 9.42 68.9
115.49 5 130.03 68.7
5.7 7 5.95 69.06
7.79 7 14.08 68.96
8.35 7 22.8 68.72
83.44 8 44.93 68.8
84.47 9 68.13 68.87
7.51 10 10.96 68.94
45.55 10 58.53 68.71
72.69 12 4.41 69.17
7.59 12 12.34 68.94
8.51 12 21.23 68.82
100.67 13 61.35 68.87
6.25 14 2.86 68.92
43.05 14 47.82 68.66
81.69 15 68.12 68.96
5.53 16 8.88 69.01
8.02 16 17.26 68.77
84.8 16 105.81 68.52
28.76 18 5.82 68.88
58.78 18 67.21 68.66
61.96 19 67.16 68.96
8.01 20 10.51 69.0
7.67 15 18.52 68.74
106.78 15 130.03 68.62
4.99 3 5.21 69.04
99.17 3 108.78 68.64
23.72 4 68.53 68.67
62.19 5 68.46 68.97
7.49 6 11.26 68.99
74.1 6 88.65 68.71
43.85 8 4.42 69.03
6.08 8 10.77 68.74
51.94 8 65.02 68.64
113.69 9 118.73 68.67
16.71 11 6.15 69.07
7.73 11 14.22 68.97
18.57 11 33.62 68.67
96.34 12 69.21 68.98
6.59 4 11.08 69.06
8.12 4 19.56 69.06
106.07 5 65.32 69.02
8.74 6 9.43 69.09
8.11 6 17.9 68.83
8.12 6 26.38 68.83
98.7 7 64.44 68.88
60.34 8 62.44 68.93
36.37 9 35.42 68.99
8.11 9 43.88 68.73
82.49 9 130.03 68.48
6.57 11 6.86 68.96
8.13 11 15.35 68.83
102.26 12 57.13 68.89
33.38 12 92.0 68.63
13.38 13 40.96 68.93
88.95 14 68.84 68.97
7.54 15 11.69 69.02
17.81 11 30.3 68.66
99.26 13 3.92 68.97
66.24 13 73.09 68.7
59.24 15 4.93 69.03
8.2 15 13.5 68.74
61.71 15 77.94 68.49
54.17 17 4.47 69.11
8.08 17 12.91 68.8
75.14 17 91.37 68.48
99.78 19 65.55 69.0
6.51 20 7.33 68.95
7.93 20 15.61 68.84
8.28 20 24.26 68.5
8.12 20 32.75 68.38
8.12 20 41.23 68.27
8.12 20 49.72 68.27
8.14 20 58.21 68.27
77.71 2 74.35 68.33
124.83 4 74.68 68.72
56.66 6 3.83 69.36
7.61 6 11.78 69.09
8.11 6 20.25 68.83
49.72 6 72.17 68.56
98.56 7 110.1 68.61
25.64 9 6.85 68.98
8.13 9 15.34 68.98
8.11 9 23.8 68.73
103.11 10 66.47 68.79
7.06 11 8.83 69.1
8.06 11 17.24 68.83
108.0 11 130.03 68.55
7.54 13 7.88 68.9
43.87 11 53.69 68.57
76.97 13 4.05 69.2
7.9 13 12.3 68.86
8.13 13 20.79 68.86
49.69 13 72.68 68.54
54.83 14 64.93 68.86
7.67 15 7.93 68.85
8.13 15 16.42 68.85
13.39 15 30.41 68.51
95.4 15 130.03 68.51
8.3 17 8.67 68.89
8.05 17 17.08 68.77
109.14 18 66.04 68.75
5.92 19 7.21 68.96
41.22 19 50.27 68.71
76.32 19 130.03 68.58
0.0 19 130.03 68.58
7.09 4 7.4 68.95
117.42 4 130.03 68.68
5.87 6 6.14 69.06
7.65 6 14.12 68.78
112.32 7 66.4 68.97
8.06 8 9.81 69.02
16.44 8 26.98 68.66
62.16 9 26.88 68.85
99.43 10 65.7 68.89
7.45 11 8.46 69.07
8.11 11 16.94 68.78
46.03 11 65.02 68.64
61.67 12 64.4 68.81
11.26 9 11.15 68.8
97.76 10 48.23 68.77
41.25 10 91.32 68.66
41.53 12 4.66 69.1
8.04 12 13.05 68.77
8.12 12 21.53 68.77
96.09 13 56.88 68.74
70.05 14 65.02 68.83
7.3 15 7.62 69.0
8.84 15 16.86 68.88
8.12 15 25.33 68.81
102.73 17 2.59 69.3
8.01 17 10.95 68.97
7.91 17 19.22 68.83
8.33 17 27.92 68.83
100.59 5 2.94 69.08
7.23 5 10.49 68.94
116.06 6 66.68 68.99
8.09 7 10.11 69.04
8.11 7 18.58 68.74
110.34 8 68.8 68.78
8.08 9 12.23 68.85
113.39 10 65.63 69.04
7.41 11 8.35 69.22
8.12 11 16.83 69.07
