interval_qps l0_files total_mem_size pending_bytes
81.93 18 130.03 47.01
186.76 18 130.03 47.62
62.25 19 130.03 47.82
21.59 17 87.57 48.02
102.92 18 130.03 48.22
62.26 19 130.03 48.42
5.9 20 71.17 48.62
8.14 20 79.67 48.62
70.09 18 87.86 48.82
102.64 19 130.03 49.02
6.39 20 71.69 49.23
8.13 20 80.18 49.23
8.12 20 88.67 49.23
7.46 21 31.45 49.43
6.5 21 38.24 49.43
6.5 21 45.03 49.43
39.48 15 86.27 49.42
104.16 16 130.03 49.62
62.25 17 130.03 49.82
83.92 19 87.64 50.22
43.3 20 68.02 50.42
8.13 20 76.51 50.42
154.94 19 108.29 50.82
25.41 20 69.9 51.02
8.13 20 78.39 51.02
92.8 18 110.29 51.22
83.25 20 67.21 51.62
6.91 21 9.41 51.82
6.91 21 16.63 51.82
6.5 21 23.42 51.82
6.45 21 30.15 51.82
7.41 21 37.89 51.82
6.08 21 44.25 51.82
138.05 19 123.4 52.02
6.35 19 130.03 52.02
62.25 17 130.03 52.22
62.26 18 130.03 52.42
63.59 20 66.41 52.82
7.33 21 9.05 53.02
6.5 21 15.84 53.02
110.18 19 65.9 53.22
63.34 20 67.03 53.41
7.17 21 9.5 53.61
6.5 21 16.29 53.61
46.65 18 65.01 53.61
124.51 19 130.03 53.81
5.9 21 6.16 54.21
5.58 21 11.98 54.21
7.44 21 19.75 54.21
6.5 21 26.54 54.21
6.06 21 32.86 54.21
8.67 21 41.91 54.21
6.51 21 48.71 54.21
77.86 18 130.03 54.21
62.26 19 130.03 54.41
4.18 20 69.38 54.61
58.69 18 65.66 54.8
126.1 20 67.59 55.2
6.85 21 9.72 55.4
6.5 21 16.51 55.4
6.5 21 23.3 55.4
102.2 18 130.03 55.4
62.25 19 130.03 55.6
7.16 21 7.48 56.0
6.5 21 14.27 56.0
6.5 21 21.06 56.0
6.5 21 27.85 56.0
6.5 21 34.64 56.0
6.5 21 41.43 56.0
6.5 21 48.22 56.0
6.5 21 55.01 56.0
6.51 21 61.81 56.0
5.74 21 67.8 56.0
4.69 22 7.69 56.2
97.84 19 109.87 56.2
21.67 20 67.48 56.39
5.23 21 7.93 56.59
4.25 21 12.36 56.59
5.28 21 17.88 56.59
4.66 21 22.74 56.59
4.67 21 27.62 56.59
4.66 21 32.48 56.59
4.66 21 37.35 56.59
4.42 21 41.97 56.59
84.32 18 130.03 56.59
63.39 20 66.2 56.99
5.58 21 7.02 57.18
115.76 18 127.91 57.18
66.66 20 67.49 57.58
6.22 21 8.97 57.78
5.84 21 15.08 57.78
5.85 21 21.19 57.78
5.85 21 27.29 57.78
5.84 21 33.39 57.78
5.85 21 39.5 57.78
5.85 21 45.61 57.78
5.85 21 51.71 57.78
5.85 21 57.82 57.78
124.48 10 122.81 54.73
158.42 13 93.21 51.43
175.74 16 81.7 49.33
46.09 16 130.03 49.33
0.0 16 130.03 49.33
0.0 16 130.03 49.33
