secs_elapsed,interval_qps,batch_size,thread_num
1437,39487,512,12
1438,42505,512,12
1439,40047,512,12
1440,41161,512,12
1441,42860,512,12
1442,39708,512,12
1443,39577,512,12
1445,43223,512,12
1446,39516,512,12
1447,42683,512,12
1448,39449,512,12
1449,40022,512,12
1450,42265,512,12
1451,40398,512,12
1452,40085,512,12
1453,43708,512,12
1454,40157,512,12
1455,38649,512,12
1456,40649,512,12
1457,41188,512,12
1458,40688,512,12
1460,44339,512,12
1461,40630,512,12
1462,43447,512,12
1463,40324,512,12
1464,40625,512,12
1466,47871,512,12
1467,39416,512,12
1468,42858,512,12
1469,38941,512,12
1470,40764,512,10
1471,49885,512,10
1472,43243,512,10
1473,43106,512,11
1475,47751,512,11
1476,42211,512,12
1477,47194,512,12
1478,41726,512,12
1479,41811,512,12
1480,44273,512,12
1481,41570,512,12
1482,41237,512,12
1483,43790,512,12
1484,40945,512,12
1485,40751,512,12
1487,44128,512,12
1488,40941,512,12
1489,44005,512,12
1490,40462,512,12
1491,40703,512,12
1492,42769,512,12
1493,42045,512,12
1494,41675,512,12
1495,43886,512,12
1496,40715,512,12
1497,40516,512,12
1499,43127,512,12
1500,40522,512,12
1501,44053,512,12
1502,41654,512,12
1503,42024,512,12
1504,44394,512,12
1505,39927,512,12
1506,40529,512,12
1507,41118,512,12
1508,41115,512,12
1509,40950,512,12
1510,43289,512,12
1511,40647,512,12
1512,39787,512,12
1514,43045,512,12
1515,39967,512,12
1516,43127,512,12
1517,39567,512,12
1518,40301,512,12
1519,42686,512,12
1520,39842,512,12
1521,39580,512,12
1522,41931,512,12
1523,39096,512,12
1524,39721,512,12
1525,40627,512,12
1526,39211,512,12
1527,39966,512,12
1529,41348,512,12
1530,39004,512,12
1531,41869,512,12
1532,39764,512,12
1533,40629,512,12
1534,44388,512,12
1535,40613,512,12
1536,40887,512,12
1538,42133,512,12
1539,40129,512,12
1540,41634,512,12
1541,39690,512,12
1542,39920,512,12
1543,42271,512,12
1544,40824,512,12
1545,40662,512,12
1546,41795,512,12
1547,40197,512,12
1548,40018,512,12
1549,42356,512,12
1550,39159,512,12
1551,38686,512,12
1553,41818,512,12
1554,38555,512,12
1555,41802,512,12
1556,39593,512,12
1557,39417,512,12
1558,41839,512,12
1559,39248,512,12
1560,39621,512,12
1561,43193,512,12
1562,38546,512,12
1563,38691,512,12
1564,41124,512,12
1565,36585,512,12
1566,38170,512,12
1568,40907,512,12
1569,38417,512,12
1570,41171,512,12
1571,38141,512,12
1572,38745,512,12
1573,40978,512,12
1574,38330,512,12
1575,38314,512,12
1576,40893,512,12
1577,44041,512,12
1578,43622,512,10
1580,47398,512,10
1581,41154,512,11
1582,44548,512,11
1583,40662,512,11
1584,39047,512,12
1585,43964,512,12
1586,39971,512,12
1587,39474,512,12
1588,43710,512,12
1589,40603,512,12
1590,40306,512,12
1592,43681,512,12
1593,40105,512,12
1594,43534,512,12
1595,40296,512,12
1596,40942,512,12
1597,44538,512,12
1598,41526,512,12
1599,41036,512,12
1600,42983,512,12
